prompt_id,context_bucket,trial_index,spec_k,acceptance_rate,tokens_per_sec,tokens_per_sec_ar,actual_speedup_tps_ratio,theoretical_speedup_factor,system_overhead_ratio
mt-002,short,2,3,1.0,114.14179289904402,176.4497687843735,0.646879809961828,1.0,0.646879809961828
mt-003,short,0,3,1.0,114.76302847640206,170.90527412820975,0.6715008010244851,1.0,0.6715008010244851
mt-003,short,1,3,1.0,113.13877640497212,174.76136458545272,0.6473900949065368,1.0,0.6473900949065368
mt-003,short,2,3,1.0,113.48626273970518,168.89758293888772,0.6719235454113512,1.0,0.6719235454113512
mt-004,short,0,3,0.9393939393939394,108.47372245430805,171.74210657848658,0.6316081979857122,0.9127083507248795,0.6920153600918458
mt-004,short,1,3,0.9393939393939394,109.14406857769,171.54602531612016,0.6362378165076247,0.9127083507248795,0.6970877564583692
mt-004,short,2,3,0.9393939393939394,108.63281414249452,171.80746272131395,0.6322939203095387,0.9127083507248795,0.6927666650659724
mt-005,short,0,3,1.0,115.76114506611724,168.06562302922217,0.6887853862058955,1.0,0.6887853862058955
mt-005,short,1,3,1.0,113.28874701282832,170.4493959579965,0.6646473950588,1.0,0.6646473950588
mt-005,short,2,3,1.0,113.64329886396796,165.69503872652305,0.6858581870488853,1.0,0.6858581870488853
mt-006,short,0,3,1.0,112.99880599458643,172.74322075437752,0.6541432161627848,1.0,0.6541432161627848
mt-006,short,1,3,1.0,112.97002821836224,176.00664152263036,0.6418509394933084,1.0,0.6418509394933084
mt-006,short,2,3,1.0,113.54889550280352,169.98744037174387,0.6679840301994344,1.0,0.6679840301994344
mt-007,short,0,3,1.0,113.03094524838048,175.5824113853335,0.6437486782222311,1.0,0.6437486782222311
mt-007,short,1,3,1.0,115.95015557901937,170.67046328805193,0.679380329467569,1.0,0.679380329467569
mt-007,short,2,3,1.0,114.15408769182686,170.4667169355548,0.6696561636426832,1.0,0.6696561636426832
mt-008,short,0,3,1.0,116.4284730516898,171.4817417924047,0.6789555076518745,1.0,0.6789555076518745
mt-008,short,1,3,1.0,113.42766076853152,170.87525386120677,0.6638039049274098,1.0,0.6638039049274098
mt-008,short,2,3,1.0,112.92977973008156,171.71139542822365,0.6576720167490973,1.0,0.6576720167490973
mt-009,short,0,3,0.8823529411764706,101.76765746057592,167.61605623111154,0.6071474281691555,0.8369631589660086,0.7254171484910167
mt-009,short,1,3,0.8823529411764706,102.01826950820288,171.08935866747717,0.5962864686779366,0.8369631589660086,0.7124405205775054
mt-009,short,2,3,0.8823529411764706,102.29197214872062,169.0936573624294,0.6049426911943337,0.8369631589660086,0.7227829381901171
mt-010,short,0,3,1.0,113.58287763675692,170.2735400256039,0.6670612334698484,1.0,0.6670612334698484
mt-010,short,1,3,1.0,113.09165742739336,171.66667678782704,0.658786315105115,1.0,0.658786315105115
mt-010,short,2,3,1.0,112.6575293312972,170.01797238733505,0.662621296733505,1.0,0.662621296733505
mt-011,short,0,3,1.0,116.6318076669523,171.42269469126552,0.6803755353222494,1.0,0.6803755353222494
mt-011,short,1,3,1.0,116.07412512494491,169.3297401844642,0.6854916625897862,1.0,0.6854916625897862
